12×8 DataFrame
 Row │ parameters  mean        std       mcse       ess_bulk  ess_tail  rhat     ess_per_sec
     │ Symbol      Float64     Float64   Float64    Float64   Float64   Float64  Float64
─────┼───────────────────────────────────────────────────────────────────────────────────────
   1 │ α           70.9545     5.07773   0.169819    979.106   547.857  1.00326     23.7774
   2 │ σ            7.99234    0.44656   0.00765    3393.31   2286.19   1.00235     82.406
   3 │ τ[1]         6.34027    5.63494   0.363935    369.419   536.698  1.01682      8.97126
   4 │ τ[2]         5.98939    5.06917   0.192074    590.383  1640.04   1.00892     14.3373
   5 │ βⱼ[1,1]      0.2465     0.809372  0.0183021  1956.96   2267.49   1.00034     47.5244
   6 │ βⱼ[2,1]     -0.914336   1.05018   0.0326699  1042.28   2110.23   1.00417     25.3116
   7 │ βⱼ[3,1]      0.5831     0.906283  0.0239642  1461.09   2302.46   1.00044     35.4823
   8 │ βⱼ[4,1]      0.0899121  0.791636  0.0173888  2005.92   2279.48   1.0006      48.7135
   9 │ βⱼ[1,2]      0.228278   0.807897  0.0205983  1568.79   1919.52   1.00183     38.0977
  10 │ βⱼ[2,2]     -0.917557   1.039     0.0343647   936.803  1588.59   1.00279     22.7501
  11 │ βⱼ[3,2]      0.57743    0.921847  0.0274444  1153.27   1720.41   1.00159     28.0069
  12 │ βⱼ[4,2]      0.0979169  0.806051  0.0189419  1852.65   2095.49   1.00117     44.9913
